	year	chamber	dem	rep	majority	minority	dem_mean	rep_mean	diffs	distance
count	127829.0	127829.0	127829.0	127829.0	127829.0	127829.0	127829.0	127829.0	127829.0	127829.0
mean	2015.979	-0.603	-1.008	0.31	-0.609	-0.089	-1.007	0.34	1.318	0.67
std	3.199	0.686	0.237	0.33	0.812	0.488	0.243	0.336	0.328	0.252
min	2009.0	-1.105	-1.243	-0.117	-1.149	-1.243	-1.264	-0.098	0.424	0.204
25%	2014.0	-1.071	-1.138	0.084	-1.132	-0.117	-1.122	0.107	1.189	0.529
50%	2016.0	-1.032	-1.098	0.145	-1.07	0.084	-1.1	0.167	1.259	0.642
75%	2019.0	-0.502	-0.996	0.683	-0.51	0.151	-0.998	0.704	1.539	0.86
max	2020.0	0.74	-0.176	1.307	1.307	0.802	-0.174	1.395	2.065	1.306
